id,district
0,Erode
1,Pudukkottai
2,Sivaganga
3,Thanjavur
4,Thiruvallur
5,Thiruvarur
6,Thoothukkudi
7,Tiruchirappalli
8,Tirunelveli
9,Tiruppur
10,Tiruvannamalai
11,Vellore
12,Viluppuram
13,Virudunagar
14,Nagappattinam
15,Coimbatore
16,Cuddalore
17,Karur
18,Chennai
19,Dindigul
20,Kancheepuram
21,Krishnagiri
22,Ramanathapuram
23,Salem
24,Ariyalur
25,Dharmapuri
26,Kanniyakumari
27,Madurai
28,Namakkal
29,Perambalur
30,The Nilgiris
31,Theni
