,,Average-Ground Water Level Status - Tamil Nadu as on August 2019,,,,,
,,,Average Water Level in mts below Ground Level,,,,
S.No.,Well Type,Name of the District,"Previous Year
(August 2018)","Current Year
(August 2019)",Rise,Fall,Remarks
1,Observation Wells,Thiruvallur,6.31,6.67,,0.36,
2,Observation Wells,Kanchipuram,5.54,6.01,,0.47,
3,Observation Wells,Thiruvannamalai,8.23,9.46,,1.23,
4,Observation Wells,Vellore,8.53,10.78,,2.25,
5,Observation Wells,Dharmapuri,11.62,14.29,,2.67,
6,Observation Wells,Krishnagiri,8.22,9.86,,1.64,
7,Observation Wells,Cuddalore,7.84,8.24,,0.40,
8,Observation Wells,Villupuram,9.14,9.43,,0.29,
9,Observation Wells,Thanjavur,3.66,3.98,,0.32,
10,Observation Wells,Thiruvarur,4.43,5.95,,1.52,
11,Observation Wells,Nagapattinam,4.13,3.81,0.32,,
12,Observation Wells,Trichy,10.70,12.22,,1.52,
13,Observation Wells,Karur,6.40,8.11,,1.71,
14,Observation Wells,Perambalur,11.07,14.65,,3.58,
15,Observation Wells,Pudukkottai,8.00,9.12,,1.12,
16,Observation Wells,Ariyalur,6.47,7.51,,1.04,
17,Observation Wells,Salem,11.77,12.12,,0.35,
18,Observation Wells,Namakkal,11.83,14.32,,2.49,
19,Observation Wells,Erode,10.89,11.16,,0.27,
20,Observation Wells,Coimbatore,14.23,14.28,,0.05,
21,Observation Wells,Thiruppur,11.95,11.69,0.26,,
22,Observation Wells,Nilgiris,2.63,2.70,,0.07,
23,Observation Wells,Dindigul,11.39,12.38,,0.99,
24,Observation Wells,Madurai,8.59,9.10,,0.51,
25,Observation Wells,Ramanathapuram,5.36,5.32,0.04,,
26,Observation Wells,Sivagangai,9.05,10.32,,1.27,
27,Observation Wells,Theni,10.54,10.50,0.04,,
28,Observation Wells,Thoothukudi,6.56,7.33,,0.77,
29,Observation Wells,Tirunelveli,7.42,8.52,,1.10,
30,Observation Wells,Virudhunagar,9.06,11.07,,2.01,
31,Observation Wells,Kanyakumari,4.47,7.31,,2.84,
